,weighted_actual_price,UseCount,Discount_HotDog,Discount_SouvCup,Discount_BtlWater,Discount_Peanuts,Discount_Pretzel,Discount_Popcorn,game_week_Game 1,game_week_Game 2,game_week_Game 3,game_week_Game 4,game_week_Game 5,game_week_Game 6,game_week_Game 7,game_week_Game 8
0,1.716819081307694,4.2626798770413155,1,0,1,0,0,0,1,0,0,0,0,0,0,0
71,1.1405635031993007,5.351858133476067,0,0,0,1,0,0,0,1,0,0,0,0,0,0
245,1.7136179768916198,3.8918202981106265,0,1,0,0,1,0,0,0,1,0,0,0,0,0
294,1.7187443447415807,3.8918202981106265,1,0,1,0,0,0,0,0,0,1,0,0,0,0
343,1.7098601487433769,3.5553480614894135,0,1,0,0,0,1,0,0,0,0,1,0,0,0
378,1.7154393840261453,3.713572066704308,0,0,1,0,1,0,0,0,0,0,0,1,0,0
419,1.7131088592815675,2.3978952727983707,1,1,0,0,0,0,0,0,0,0,0,0,1,0
430,1.7021550791308389,3.828641396489095,1,1,1,0,0,1,0,0,0,0,0,0,0,1
